model_year,milage,accident,clean_title,price,turbo,brand_encoded,engine_score
2016,62500.0,1,1,40500.0,0,4,0.18059163059163064
2013,72000.0,0,1,17500.0,0,2,0.6931457431457432
2020,8375.0,0,0,69900.0,0,5,0.07662337662337662
2020,40000.0,0,1,53000.0,0,4,0.8260461760461761
2014,77000.0,1,1,30000.0,0,2,-0.3808802308802308
2019,19593.0,0,0,159998.0,1,5,0.7360750360750362
2020,35902.0,0,0,22966.0,1,2,-0.58008658008658
2013,800.0,0,1,9800.0,0,2,-0.9291486291486292
2023,2600.0,0,1,239995.0,1,6,0.7360750360750362
2023,6204.0,0,0,79998.0,0,5,0.07662337662337662
2020,69185.0,0,0,37405.0,0,3,0.3097402597402597
2015,45000.0,0,1,41900.0,0,6,0.7072150072150073
2020,37426.0,0,0,39998.0,1,4,-0.42886002886002883
2011,137000.0,1,1,8500.0,0,2,0.7626262626262627
2016,85000.0,1,1,18500.0,0,2,0.08917581666424886
2023,4000.0,1,1,73900.0,0,4,1.0202020202020203
2023,4648.0,0,0,47598.0,0,4,-0.42886002886002883
2018,52100.0,0,1,38000.0,0,4,0.3277777777777778
2014,50100.0,0,1,10795.0,0,4,-0.6113997113997113
2020,41000.0,0,1,32400.0,0,4,-0.5161616161616162
2021,70968.0,0,1,34000.0,0,5,0.7182539682539684
2015,26600.0,0,1,53000.0,0,4,0.18059163059163064
2022,15443.0,0,1,84500.0,0,5,1.4356421356421356
2018,95000.0,0,1,18000.0,0,3,-0.5875901875901876
2005,94000.0,0,1,19500.0,0,2,-0.39278499278499274
2020,45076.0,0,0,57998.0,1,4,0.07662337662337662
2014,110000.0,0,1,11000.0,0,4,-0.5352092352092351
2016,49083.0,0,0,21590.0,1,5,-0.42886002886002883
2017,63500.0,0,1,27500.0,0,5,0.6717171717171718
2009,21500.0,1,1,18000.0,0,5,-0.11746031746031742
2023,324.0,0,0,199998.0,0,5,0.6022366522366523
2019,68166.0,0,0,20818.0,0,3,-0.7743867243867243
2018,53607.0,1,0,31853.0,0,3,0.0
2019,16813.0,1,0,45900.0,0,5,-0.38369408369408364
2020,18200.0,1,1,29500.0,0,4,-0.63997113997114
2015,51000.0,1,1,102000.0,0,4,1.2115440115440117
2018,16400.0,0,1,42800.0,0,4,-0.4875901875901876
2022,7000.0,0,1,75500.0,0,3,0.2697691197691198
2022,8497.0,0,0,52900.0,1,4,0.07662337662337662
2016,68000.0,1,1,20000.0,0,4,-0.5828282828282828
2022,2523.0,0,0,288900.0,0,6,1.5091630591630594
2007,83000.0,0,1,8995.0,0,4,-0.28369408369408367
2018,25000.0,0,1,50000.0,0,4,0.011544011544011587
2021,15689.0,0,0,97952.0,1,4,0.07662337662337662
2014,125450.0,0,1,17200.0,0,4,-0.06940836940836936
2023,9822.0,0,0,50998.0,0,3,0.3097402597402597
2008,144000.0,0,1,22000.0,0,4,0.5922799422799423
2020,30900.0,0,1,27654.0,0,4,-0.58008658008658
2021,2492.0,0,0,41598.0,1,4,-0.42886002886002883
2015,126760.0,1,1,14000.0,0,4,-0.6804473304473304
2017,100680.0,0,1,20500.0,0,2,-0.13088023088023085
2001,90400.0,0,1,4495.0,0,2,-0.7888888888888889
2022,26895.0,1,0,29800.0,0,2,-0.58008658008658
2018,20500.0,0,1,67000.0,0,4,1.0093795093795095
2011,134000.0,1,1,10500.0,0,3,0.7063492063492065
2015,84352.0,1,1,10000.0,0,4,-0.7352092352092351
2022,19000.0,0,1,71000.0,0,3,0.2697691197691198
2015,115550.0,0,1,17500.0,0,5,-0.6113997113997113
2009,191775.0,1,1,9750.0,0,3,0.47041847041847057
2023,923.0,0,0,46998.0,0,4,0.08917581666424886
2017,124630.0,0,1,75000.0,0,5,-0.38369408369408364
2019,17000.0,0,1,95000.0,0,5,0.9559163059163059
2018,73500.0,0,1,32000.0,0,4,-0.06940836940836936
1998,120000.0,1,1,5500.0,0,3,-0.8797979797979797
2019,73837.0,0,1,36340.0,0,4,0.07662337662337662
2014,29500.0,0,1,40999.0,0,4,0.9141414141414143
2021,13613.0,0,0,29798.0,0,2,-0.42886002886002883
2023,1185.0,0,1,120990.0,0,4,0.20310245310245312
2015,143250.0,0,1,11500.0,0,2,0.05569985569985577
2006,46508.0,1,1,11500.0,0,4,-0.31940836940836936
2015,18651.0,0,1,59549.0,0,4,0.9141414141414143
2019,36438.0,0,0,39998.0,1,4,0.07662337662337662
2014,46628.0,0,0,15363.0,0,3,-0.684126984126984
2023,5700.0,0,1,95000.0,0,6,1.9901154401154404
2015,57550.0,0,1,29995.0,0,4,-0.6113997113997113
2017,48600.0,0,1,60999.0,0,4,1.3773448773448773
2020,119000.0,0,1,18000.0,0,4,-0.7046897546897547
2020,36500.0,0,1,72000.0,0,5,0.9812409812409814
2010,121250.0,1,1,13250.0,0,4,-0.4213564213564213
2023,2437.0,0,1,78350.0,0,4,0.061544011544011595
2018,110380.0,1,1,22000.0,0,3,-0.4304473304473304
2008,149000.0,0,1,3850.0,0,2,-0.4648629148629148
2021,14684.0,0,0,37995.0,0,3,-0.03167388167388157
2017,39000.0,1,1,39000.0,0,5,0.030591630591630642
2019,65212.0,0,1,42995.0,0,4,0.4933621933621934
2020,41856.0,0,1,91500.0,0,4,0.9273448773448774
2023,655.0,0,1,94500.0,0,6,1.9901154401154404
2019,54000.0,0,1,33000.0,0,3,-0.5856421356421356
2019,26500.0,0,1,53900.0,0,4,0.35591630591630596
2020,38356.0,0,0,36598.0,0,5,-0.42886002886002883
2020,21487.0,0,1,35345.0,1,4,-0.42886002886002883
2007,99000.0,0,1,22999.0,0,4,0.8130591630591631
2019,35597.0,0,0,47756.0,0,4,1.0702020202020204
2005,130307.0,0,1,9950.0,0,3,-0.07222222222222217
2010,178000.0,0,1,7600.0,0,2,-0.7023088023088023
2003,160265.0,1,1,3000.0,0,2,-0.9544733044733045
2020,8700.0,0,1,185000.0,0,6,0.827994227994228
2016,1000.0,0,1,36000.0,0,6,0.13059163059163062
2022,29800.0,0,0,58900.0,0,3,0.6595238095238095
2017,49750.0,0,1,27995.0,0,6,0.13059163059163062
2002,121000.0,0,1,6348.0,0,4,-0.30750360750360745
2005,140000.0,0,1,2000.0,0,3,0.33015873015873015
2018,66770.0,1,0,21500.0,0,4,-0.7046897546897547
2016,61549.0,1,0,19998.0,0,4,-0.03167388167388157
2016,38100.0,0,1,21000.0,0,3,0.11349206349206353
2010,138071.0,0,1,5000.0,0,3,-1.0062049062049063
2019,40000.0,1,1,72000.0,0,5,0.9559163059163059
2022,41545.0,0,0,71998.0,1,5,0.07662337662337662
2019,47850.0,1,1,127899.0,0,5,0.5106782106782107
2014,128000.0,0,1,11000.0,0,2,-0.7648629148629148
2019,48156.0,0,0,40368.0,0,3,0.7360750360750362
2021,4700.0,0,1,99900.0,0,5,0.7011544011544012
2017,39071.0,0,0,67900.0,1,4,0.7360750360750362
1999,96680.0,1,1,12900.0,0,2,-0.8797979797979797
2017,53500.0,1,1,33999.0,0,5,0.030591630591630642
2007,11025.0,0,1,47500.0,0,4,1.1771284271284272
2021,44000.0,1,1,73000.0,0,4,1.0602453102453102
2022,11000.0,0,1,27900.0,0,2,-0.7447330447330446
2012,103000.0,0,1,16000.0,0,4,0.5498556998556999
2024,456.0,0,1,128995.0,0,4,0.46154401154401153
2018,64000.0,0,1,37300.0,0,4,0.3277777777777778
2017,108000.0,0,1,25999.0,0,4,-0.03845598845598841
2018,37045.0,1,1,26600.0,0,4,-0.5161616161616162
2023,5433.0,0,0,95998.0,0,5,0.07662337662337662
2019,28744.0,0,0,50998.0,1,4,0.6022366522366523
2015,65800.0,0,1,44950.0,0,4,0.18059163059163064
2021,850.0,0,1,314900.0,0,6,1.6697691197691202
2019,33012.0,0,1,38000.0,0,4,0.5624098124098125
2011,107818.0,1,1,11400.0,0,4,-0.4213564213564213
2016,79500.0,0,1,19000.0,0,5,-0.6113997113997113
